id,calories,meal_type,name
1,491,BREAKFAST,"Amarantus gotowany na mleku"
2,403,BREAKFAST,"Awokado faszerowane łososiem"
3,1911,BREAKFAST,"Babeczki owsiane z owocami"
4,408,BREAKFAST,"Bajgiel z chorizo i mozarellą"
5,387,BREAKFAST,"Bajgiel z pastą z tuńczyka"
6,272,BREAKFAST,"Bajgiel z serem kozim"
7,266,BREAKFAST,"Bananowo-twarogowa pasta"
8,470,BREAKFAST,"Bób z jakiem i sałatką z pomidora"
9,610,BREAKFAST,"Budyń domowy"
10,263,BREAKFAST,"Bułka z dżemem"
11,500,BREAKFAST,"Bułka z serem i jajkiem"
12,298,BREAKFAST,"Bułka z wędliną"
13,345,BREAKFAST,"Bułka z serkiem i warzywami"
14,442,BREAKFAST,"Bułka z serem żółtym"
15,70,BREAKFAST,"Dynia pieczona"
16,382,BREAKFAST,"Frittata ze szpinakiem"
17,232,BREAKFAST,"Frittata z łososiem"
18,1147,BREAKFAST,"Gofry bezglutenowe"
19,530,BREAKFAST,"Gofry pełnoziarniste"
20,704,BREAKFAST,"Gofry z mascarpone i malinami"
21,116,BREAKFAST,Grzanki
22,596,BREAKFAST,"Gofry z truskawkami"
23,420,BREAKFAST,"Grzanki z mozarellą"
24,461,BREAKFAST,"Jaglanka na mleku ryżowym z owocami"
25,937,BREAKFAST,"Jagodzianki serowe"
26,210,BREAKFAST,"Jajecznica z pomidorami"
27,179,BREAKFAST,"Jajka sadzone"
28,290,BREAKFAST,"Jogurt z owocami i wiórkami kokosowymi"
29,543,BREAKFAST,"Jogurt z prażonymi migdałami i suszoną żurawiną"
30,466,BREAKFAST,"Kanapki z bananem i truskawkami"
31,554,BREAKFAST,"Kanapki z czekoladą i truskawkami"
32,526,BREAKFAST,"Kanapki z pastą z tuńczyka"
33,323,BREAKFAST,"Kasza bulgur z jogurtem i jabłkiem"
34,409,BREAKFAST,"Kasza manna na mleku ryżowym"
35,258,BREAKFAST,"Korzenne puree z dyni"
36,200,BREAKFAST,"Lemoniada grejpfrutowa"
37,127,BREAKFAST,"Lemoniada jabłkowa"
38,26,BREAKFAST,"Mix sałat"
39,1128,BREAKFAST,"Muffinki z jabłkiem"
40,313,BREAKFAST,"Musli z jogurtem i owocami"
41,682,BREAKFAST,"Naleśniki gryczane"
42,184,BREAKFAST,Omlet
43,314,BREAKFAST,"Omlet białkowy z łososiem"
44,608,BREAKFAST,"Placuszki dyniowe z owocami"
45,914,BREAKFAST,"Placuszki jogurtowe z masłem orzechowym i bananem"
46,764,BREAKFAST,"Placuszki jogurtowe z owocami"
47,562,BREAKFAST,"Płatki żytnie na mleku z gruszką i orzechami"
48,529,BREAKFAST,"Płatki żytnie z masłem orzechowym i bananem"
49,218,BREAKFAST,"Serek wiejski z truskawkami"
50,546,BREAKFAST,"Shake owsiany z bananem"
51,298,BREAKFAST,Szakszuka
52,569,LUNCH,"Bataty z serem feta i suszonymi pomidorami"
53,738,LUNCH,"Buddha bowl"
54,1061,LUNCH,"Burgery wołowe"
55,1237,LUNCH,"Burgery z ciecierzycy"
56,710,LUNCH,"Burrito z wołowiną"
57,749,LUNCH,"Chilli con carne"
58,787,LUNCH,"Chilli z indykiem"
59,322,LUNCH,"Chipsy z ziemniaków"
60,616,LUNCH,"Curry z kurczakiem"
61,1210,LUNCH,"Curry z ziemniakami i groszkiem"
62,426,LUNCH,"Duszona pierś z kurczaka z ryżem"
63,1412,LUNCH,"Fasolka po bretońsku"
64,644,LUNCH,"Filet z kurczaka z warzywami na patelnię z ryżem"
65,601,LUNCH,"Gołąbki bez zawijania"
66,665,LUNCH,"Gulasz wołowy z kaszą pęczak"
67,562,LUNCH,"Indyk duszony z ryżem"
68,556,LUNCH,"Indyk z warzywami i ryżem"
69,948,LUNCH,"Kaszotto z dynią i kurkami"
70,583,LUNCH,"Kaszotto ze szparagami i kozim serem"
71,705,LUNCH,"Kluski śląskie"
72,837,LUNCH,"Kluski śląskie z sosem pieczarkowym"
73,1510,LUNCH,"Kokosowy ryż z mango"
74,833,LUNCH,Kopytka
75,920,LUNCH,"Kopytka w sosie szpinakowym"
76,694,LUNCH,"Kotlety jajeczne"
